Fakturanr.;Fakturadato;Forfallsdato;Kundenummer;Avdelingsnummer;Avdelingsnavn;Prosjektnummer;Prosjektleder Nummer;Beløp ekskl. mva;Valuta;Beløp inkl. mva;Betalt;Utestående;Purring;Purring Status;Purring Sist sendt;Purring Forfallsdato
7955.0;0001-10-31;0001-11-30;10840;;Avdeling;nan;;19450.0;NOK;24312.5;0.0;24312.5;;;;
7956.0;0001-10-31;0001-11-30;10773;;Avdeling;0001.65;;8400.0;NOK;10500.0;10500.0;0.0;;;;
7957.0;0001-10-31;0001-11-30;10740;;Avdeling;0000.54;;5050.0;NOK;6312.5;6312.5;0.0;;;;
7958.0;0001-10-31;0001-11-30;10483;;Avdeling;nan;;35600.0;NOK;44500.0;44500.0;0.0;;;;
7959.0;0001-10-31;0001-11-30;10524;;Avdeling;nan;;21000.0;NOK;26250.0;26250.0;0.0;;;;
7960.0;0001-10-31;0001-12-15;10171;;Avdeling;nan;;47250.0;NOK;59062.5;59062.5;0.0;;;;
7961.0;0001-10-31;0001-11-30;10524;;Avdeling;0001.86;;6000.0;NOK;7500.0;7500.0;0.0;;;;
7962.0;0001-10-31;0001-11-30;10839;;Avdeling;0001.78;;6300.0;NOK;7875.0;7875.0;0.0;;;;
7963.0;0001-10-31;0001-11-30;10322;;Avdeling;0001.75;;58380.0;NOK;72975.0;72975.0;0.0;;;;
7964.0;0001-10-31;0001-11-30;10739;;Avdeling;0001.73;;5550.0;NOK;6937.5;0.0;6937.5;0.0;Betalingspåminnelse;0001-12-07;0001-12-07
7965.0;0001-10-31;0001-11-30;10731;;Avdeling;0001.51;;105550.0;NOK;131937.5;0.0;131937.5;0.0;Betalingspåminnelse;0001-12-07;0001-12-07
7966.0;0001-10-31;0001-11-30;10009;;Avdeling;0001.50;;16040.0;NOK;20050.0;20050.0;0.0;;;;
7967.0;0001-10-31;0001-11-30;10822;;Avdeling;0001.49;;7350.0;NOK;9187.5;9187.5;0.0;;;;
7968.0;0001-10-31;0001-11-30;10849;;Avdeling;0001.43;;11620.0;NOK;14525.0;0.0;14525.0;;;;
7969.0;0001-10-31;0001-11-30;10811;;Avdeling;0001.33;;5250.0;NOK;6562.5;6562.5;0.0;0.0;Betalingspåminnelse;0001-12-07;0001-12-07
7970.0;0001-10-31;0001-11-30;10813;;Avdeling;0001.32;;122420.0;NOK;153025.0;153025.0;0.0;;;;
7971.0;0001-10-31;0001-11-30;10361;;Avdeling;nan;;41010.0;NOK;51262.5;51262.5;0.0;;;;
7972.0;0001-10-31;0001-11-30;10812;;Avdeling;0001.29;;9000.0;NOK;11250.0;11250.0;0.0;;;;
7973.0;0001-10-31;0001-11-30;10826;;Avdeling;0000.85;;26460.0;NOK;33075.0;33075.0;0.0;;;;
7974.0;0001-10-31;0001-11-30;10722;;Avdeling;0000.47;;19000.0;NOK;23750.0;23750.0;0.0;;;;
7975.0;0001-10-31;0001-11-30;10734;;Avdeling;0000.41;;4200.0;NOK;5250.0;5250.0;0.0;;;;
7976.0;0001-10-31;0001-11-30;10635;;Avdeling;-001.44;;2940.0;NOK;3675.0;3675.0;0.0;;;;
7977.0;0001-10-31;0001-11-30;10001;;Avdeling;nan;;24200.0;NOK;30250.0;30250.0;0.0;;;;
7978.0;0001-10-31;0001-11-30;10610;;Avdeling;-001.17;;2300.0;NOK;2875.0;2875.0;0.0;;;;
7979.0;0001-10-31;0001-11-30;10617;;Avdeling;-001.06;;11770.0;NOK;14712.5;14712.5;0.0;;;;
7980.0;0001-10-31;0001-11-30;10617;;Avdeling;nan;;118040.0;NOK;147550.0;147550.0;0.0;0.0;Betalingspåminnelse;0001-12-07;0001-12-07
